Global Temperature Anomalies (deg C) AIRS v6 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2004, -0.139,  0.037, -0.160, -0.124, -0.335, -0.231, -0.398, -0.242, -0.223, -0.144, -0.048, -0.172, -0.182, -0.161, -0.011, -0.206, -0.291, -0.138
2005,  0.025, -0.088, -0.048, -0.056, -0.084, -0.023, -0.042, -0.099, -0.013, -0.003, -0.039,  0.002, -0.039, -0.054, -0.078, -0.063, -0.055, -0.019
2006, -0.156,  0.043, -0.164, -0.251, -0.216, -0.015, -0.116, -0.005, -0.077, -0.057, -0.040,  0.112, -0.079, -0.088, -0.037, -0.210, -0.046, -0.058
2007,  0.303,  0.014, -0.063,  0.038, -0.020, -0.052, -0.056, -0.121, -0.126, -0.167, -0.185, -0.184, -0.052, -0.027,  0.143, -0.015, -0.076, -0.160
2008, -0.418, -0.308, -0.050, -0.199, -0.223, -0.177, -0.063, -0.239, -0.116, -0.086, -0.086, -0.139, -0.175, -0.179, -0.303, -0.157, -0.160, -0.096
2009, -0.075, -0.158, -0.253, -0.127, -0.063, -0.020,  0.080, -0.037, -0.001, -0.104,  0.037, -0.002, -0.060, -0.072, -0.124, -0.147,  0.007, -0.023
2010,  0.028,  0.147,  0.128,  0.108,  0.038,  0.005, -0.039, -0.042, -0.095, -0.048,  0.043, -0.233,  0.003,  0.023,  0.057,  0.091, -0.025, -0.033
2011, -0.207, -0.208, -0.147, -0.087, -0.189, -0.055,  0.041,  0.031, -0.160, -0.093, -0.191, -0.079, -0.112, -0.125, -0.216, -0.141,  0.005, -0.148
2012, -0.229, -0.192, -0.218, -0.016,  0.071, -0.022, -0.083, -0.083, -0.008,  0.035,  0.008, -0.149, -0.074, -0.068, -0.167, -0.054, -0.063,  0.012
2013, -0.016, -0.061, -0.115, -0.189, -0.104,  0.025, -0.059, -0.010,  0.047, -0.063,  0.062,  0.015, -0.039, -0.053, -0.076, -0.136, -0.015,  0.016
2014,  0.033, -0.137, -0.005,  0.070,  0.153,  0.009, -0.082,  0.107,  0.151,  0.055, -0.105,  0.110,  0.030,  0.022, -0.030,  0.073,  0.011,  0.034
2015,  0.131,  0.219,  0.165,  0.021,  0.090,  0.147,  0.075,  0.093,  0.127,  0.339,  0.283,  0.480,  0.181,  0.150,  0.154,  0.092,  0.105,  0.250
2016,  0.450,  0.685,  0.557,  0.381,  0.247,  0.140,  0.187,  0.302,  0.181,  0.131,  0.134,  0.182,  0.298,  0.323,  0.538,  0.395,  0.209,  0.149
2017,  0.306,  0.463,  0.373,  0.215,  0.200,  0.054,  0.151,  0.153,  0.043,  0.148,  0.103,  0.258,  0.206,  0.199,  0.317,  0.263,  0.119,  0.098
2018,  0.094,  0.166,  0.100,  0.157,  0.113,  0.112,  0.164,  0.046,  0.078,  0.267,  0.054,  0.242,  0.133,  0.134,  0.172,  0.123,  0.107,  0.133
2019,  0.214,  0.273,  0.386,  0.282,  0.144,  0.255,  0.283,  0.228,  0.201,  0.264,  0.229,  0.413,  0.264,  0.250,  0.243,  0.271,  0.255,  0.231
2020,  0.450,  0.569,  0.387,  0.401,  0.310,  0.254,  0.236,  0.154,  0.265,  0.136,  0.331,  0.133,  0.302,  0.325,  0.477,  0.366,  0.215,  0.244
