S.Hemi Temperature Anomalies (deg C) AIRS v6 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2012, -0.221, -0.055, -0.093, -0.038,  0.032, -0.045, -0.204, -0.007, -0.099,  0.104, -0.001,  0.026, -0.050, -0.070, -0.164, -0.033, -0.086,  0.001
2013,  0.083,  0.024, -0.040,  0.008, -0.128,  0.144, -0.169,  0.005,  0.236, -0.016, -0.019,  0.044,  0.014,  0.013,  0.045, -0.053, -0.007,  0.067
2014, -0.001, -0.185, -0.065,  0.003,  0.144, -0.009, -0.071,  0.034,  0.201,  0.125,  0.061,  0.032,  0.023,  0.024, -0.047,  0.027, -0.015,  0.129
2015,  0.042,  0.154,  0.003, -0.156, -0.108, -0.101, -0.140, -0.044, -0.008,  0.175,  0.157,  0.291,  0.022,  0.001,  0.076, -0.087, -0.095,  0.108
2016,  0.205,  0.277,  0.191,  0.180,  0.132,  0.008,  0.213,  0.211,  0.053,  0.251,  0.294,  0.183,  0.183,  0.192,  0.258,  0.167,  0.144,  0.199
2017,  0.224,  0.267,  0.227,  0.066,  0.218, -0.005,  0.108,  0.017,  0.071,  0.142, -0.001, -0.010,  0.110,  0.127,  0.225,  0.170,  0.040,  0.071
2018,  0.112,  0.017,  0.067,  0.205,  0.021,  0.049, -0.003, -0.040, -0.064,  0.021,  0.037,  0.213,  0.053,  0.034,  0.040,  0.098,  0.002, -0.002
2019,  0.235,  0.341,  0.272,  0.190,  0.051,  0.072,  0.193,  0.149,  0.075,  0.249,  0.300,  0.348,  0.206,  0.195,  0.263,  0.171,  0.138,  0.208
2020,  0.249,  0.126,  0.050,  0.225,  0.110,  0.163,  0.148, -0.066,  0.174,  0.002,  0.159, -0.141,  0.100,  0.141,  0.241,  0.128,  0.082,  0.112
S.Hemi Temperature Anomalies (deg C) GHCNv4/ERSSTv5 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,  0.010, -0.059,  0.121,  0.161,  0.167, -0.139,  0.012, -0.095,  0.015, -0.020, -0.165, -0.056, -0.004, -0.003, -0.032,  0.150, -0.074, -0.057
2003,  0.060,  0.120,  0.006,  0.005, -0.083, -0.106, -0.054, -0.175, -0.153, -0.089, -0.150,  0.004, -0.051, -0.056,  0.041, -0.024, -0.112, -0.131
2004, -0.015,  0.049, -0.119,  0.031, -0.348, -0.102, -0.505, -0.217, -0.207, -0.057, -0.086,  0.060, -0.126, -0.131,  0.013, -0.145, -0.274, -0.117
2005,  0.036,  0.003,  0.028, -0.063, -0.104, -0.008, -0.048, -0.075, -0.093, -0.025, -0.143,  0.012, -0.040, -0.036,  0.033, -0.046, -0.044, -0.087
2006, -0.037,  0.025, -0.041, -0.121, -0.351, -0.014, -0.141,  0.119, -0.139, -0.143, -0.034, -0.089, -0.080, -0.072, -0.000, -0.171, -0.012, -0.105
2007,  0.069,  0.023, -0.020, -0.022,  0.075,  0.069,  0.012, -0.155, -0.090, -0.240, -0.200, -0.293, -0.064, -0.047,  0.001,  0.011, -0.025, -0.177
2008, -0.244, -0.312, -0.176, -0.072, -0.206, -0.141,  0.058, -0.260,  0.028, -0.101, -0.147, -0.088, -0.139, -0.156, -0.283, -0.152, -0.114, -0.073
2009, -0.047, -0.123, -0.033,  0.018,  0.055,  0.107,  0.262,  0.020, -0.020, -0.067,  0.223,  0.178,  0.048,  0.026, -0.086,  0.013,  0.130,  0.045
2010,  0.182,  0.254,  0.224,  0.063, -0.019, -0.012, -0.180, -0.131, -0.061, -0.060, -0.129, -0.118,  0.001,  0.026,  0.205,  0.089, -0.108, -0.083
2011, -0.095, -0.085, -0.113, -0.047, -0.195, -0.043,  0.138,  0.170, -0.221, -0.165, -0.050, -0.198, -0.075, -0.069, -0.099, -0.119,  0.089, -0.145
2012, -0.215, -0.081, -0.089, -0.130,  0.008, -0.160, -0.237, -0.105, -0.046,  0.085,  0.032,  0.094, -0.070, -0.095, -0.164, -0.070, -0.167,  0.024
2013,  0.049, -0.020,  0.025, -0.084, -0.148,  0.105, -0.032,  0.057,  0.227, -0.025, -0.015,  0.038,  0.015,  0.020,  0.041, -0.069,  0.043,  0.062
2014,  0.021, -0.098, -0.148,  0.030,  0.242,  0.028, -0.150,  0.121,  0.299,  0.106, -0.027, -0.042,  0.032,  0.038, -0.013,  0.041, -0.000,  0.126
2015,  0.004,  0.134,  0.063, -0.007, -0.026,  0.065,  0.013, -0.014, -0.088,  0.311,  0.174,  0.263,  0.074,  0.049,  0.032,  0.010,  0.021,  0.132
2016,  0.276,  0.307,  0.268,  0.251,  0.216, -0.018,  0.115,  0.297, -0.030,  0.157,  0.139,  0.167,  0.179,  0.187,  0.282,  0.245,  0.131,  0.089
2017,  0.135,  0.284,  0.284,  0.202,  0.316,  0.008,  0.115,  0.103, -0.084,  0.172, -0.030, -0.045,  0.122,  0.139,  0.195,  0.267,  0.075,  0.019
2018, -0.032, -0.026,  0.088,  0.313,  0.049,  0.182,  0.208,  0.036,  0.018,  0.215,  0.122,  0.218,  0.116,  0.094, -0.034,  0.150,  0.142,  0.118
2019,  0.145,  0.302,  0.277,  0.282,  0.137,  0.135,  0.313,  0.179,  0.019,  0.143,  0.241,  0.265,  0.203,  0.199,  0.221,  0.232,  0.209,  0.134
2020,  0.226,  0.304,  0.160,  0.364,  0.177,  0.198,  0.147, -0.010,  0.157, -0.024,  0.037, -0.084,  0.138,  0.167,  0.265,  0.234,  0.112,  0.057
